Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-Manhole,2nd street & union Avenue,Brooklyn,41811.08234,41812.58382,40.709142,-73.950813
Fire-1st Alarm,690 East 183rd street,bronx,41811.79691,41811.84905,40.85197674,-73.88573291
Law Enforcement-Other,2320 HYLAN blvd,Staten Island,41811.58628,41811.60373,40.57429237,-74.10578866
Fire-Collapse,113 Java Street,Brooklyn,41808.74291,41809.48957,40.73144746,-73.95633417
Fire-3rd Alarm,2022 Bay Ridge Parkway,Brooklyn,41808.75031,41808.83934,40.61047194,-73.99119703
Law Enforcement-Suspicious Package,130 stuyvesant,Staten Island,41800.72721,41807.59106,40.64306759,-74.07703574
Fire-5th Alarm,233 Steinway Ave,Staten Island,41805.80831,41805.9656,40.59154887,-74.16296258
Fire-Other,3015 west 29th street,Brooklyn,41805.56382,41805.63512,40.57235378,-73.99479715
Fire-2nd Alarm,4815 6th Avenue,Brooklyn,41805.17089,41805.3715,40.64447167,-74.00733936
Fire-1st Alarm,Creamer Street & Smith Street,Brooklyn,41803.97836,41804.85775,,
Law Enforcement-Haz Mat,1910 Bartow Avenue,Bronx,41804.56155,41804.61786,40.86783107,-73.83443283
Law Enforcement-Suspicious Package,125-01 Queens Blvd.,Queens,41803.61692,41803.67043,40.71205818,-73.82531956
Fire-3rd Alarm,1306 St. Nicholas,Manhattan,41802.99112,41803.1338,40.84573252,-73.93631531
Law Enforcement-Device,234 Avenue Z,Brooklyn,41802.31153,41802.44919,40.58459559,-73.98456846
Fire-10-77 (Residential High Rise Fire),260 Audubon Avenue,Manhattan,41777.41547,41801.58306,40.84708663,-73.93349616
Law Enforcement-Suspicious Package,925 9th avenue,Manhattan,41797.50521,41797.52542,40.76898858,-73.98500023
Fire-Sensitive Location,1260 45th Street,Brooklyn,41796.63168,41796.83707,40.63772442,-73.99068861
Fire-3rd Alarm,99 Stuyvesant Place,Staten Island,41795.73983,41795.92962,40.64369155,-74.07743457
Fire-2nd Alarm,147-09 41st Avenue,Queens,41793.10582,41795.49807,40.7616,-73.81765751
Fire-2nd Alarm,147-09 41st Avenue,Queens,41793.10582,41793.49002,40.7616,-73.81765751
Fire-2nd Alarm,359 herkimer,Brooklyn,41790.86818,41790.92553,40.67921446,-73.94151097
Law Enforcement-Other,East 64th Street & Madison Avenue,Manhattan,41790.30438,41790.39353,40.766715,-73.9691325
Law Enforcement-Other,East 64th Street & Madison Avenue,Manhattan,41790.30438,41790.3341,40.766715,-73.9691325
Fire-3rd Alarm,170 W 23 Street,Manhattan,41786.66317,41786.80046,40.74386979,-73.99520503
Fire-4th Alarm,80-15 41 Avenue,Queens,41785.99043,41786.44869,40.74585338,-73.88503631
Fire-2nd Alarm,501 Brightwater Court,Brooklyn,41785.56884,41786.10168,,
Fire-3rd Alarm,2077 Anthony Ave,Bronx,41779.25287,41780.73797,40.85300446,-73.90184721
Law Enforcement-Haz Mat,2457 East 12th Street,Brooklyn,41780.57071,41780.68074,40.59049208,-73.95870081
Fire-2nd Alarm,4 times square,New York City,41779.99219,41780.05027,40.75525672,-73.98491126
Fire-3rd Alarm,2077 Anthony Ave,Bronx,41779.25287,41779.98522,40.85300446,-73.90184721
Fire-Other,4915 10th Aveneu,Brooklyn,41779.49966,41779.52065,40.63870381,-73.9989691
Fire-Collapse,45 ilyssa way,Brooklyn,41775.68106,41775.8288,40.56060431,-74.18155724
Fire-2nd Alarm,119-39 226 st,Queens,41774.98116,41775.07744,40.68914838,-73.73713312
Fire-10-76 (Commercial High Rise Fire),928 broadway,New York City,41774.93314,41774.98494,40.74011399,-73.98948628
Fire-Collapse,926 Bedford Avenue,Brooklyn,41773.76021,41773.82547,40.69319766,-73.95587793
